EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-07-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:32849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SD, Q_SD
    12, 32849,20060830,    0,    0
    12, 32849,20060831,    0,    0
    12, 32849,20060901,    0,    0
    12, 32849,20060902,    0,    0
    12, 32849,20060903,    0,    0
    12, 32849,20060904,    0,    0
    12, 32849,20060905,    0,    0
    12, 32849,20060906,    0,    0
    12, 32849,20060907,    0,    0
    12, 32849,20060908,    0,    0
    12, 32849,20060909,    0,    0
    12, 32849,20060910,    0,    0
    12, 32849,20060911,    0,    0
    12, 32849,20060912,    0,    0
    12, 32849,20060913,    0,    0
    12, 32849,20060914,    0,    0
    12, 32849,20060915,    0,    0
    12, 32849,20060916,    0,    0
    12, 32849,20060917,    0,    0
    12, 32849,20060918,    0,    0
    12, 32849,20060919,    0,    0
    12, 32849,20060920,    0,    0
    12, 32849,20060921,    0,    0
    12, 32849,20060922,    0,    0
    12, 32849,20060923,    0,    0
    12, 32849,20060924,    0,    0
    12, 32849,20060925,    0,    0
    12, 32849,20060926,    0,    0
    12, 32849,20060927,    0,    0
    12, 32849,20060928,    0,    0
    12, 32849,20060929,    0,    0
    12, 32849,20060930,    0,    0
    12, 32849,20061001,    0,    0
    12, 32849,20061002,    0,    0
    12, 32849,20061003,    0,    0
